Train_No,Station,Code,Chart_Code,Date,Time
12718,Vijayawada Jn,BZA,BZA,2024-05-12,20:15:39
12718,Vijayawada Jn,BZA,BZA,2024-05-12,20:15:39
12718,Vijayawada Jn,BZA,BZA,2024-05-12,20:15:39
22806,Anand Vihar Terminal,ANVT,ANVT,2024-05-13,04:01:29
22806,Anand Vihar Terminal,ANVT,ANVT,2024-05-13,04:01:29
12718,Vijayawada Jn,BZA,BZA,2024-05-11,20:14:30
12717,Visakhapatnam,VSKP,VSKP,2024-05-12,08:47:27
12717,Visakhapatnam,VSKP,VSKP,2024-05-18,08:55:46
12717,Visakhapatnam,VSKP,VSKP,2024-05-18,08:55:46
12728,Hyderabad Decan,HYB,HYB,2024-05-18,12:59:11
20806,New Delhi,NDLS,NDLS,2024-05-18,16:03:58
20806,Vijayawada Jn (Rev),BZA,BZA,2024-05-18,17:30:56
20806,New Delhi,NDLS,NDLS,2024-05-18,16:03:58
